Date	WVHT	DPD	APD	MWD
2008-10-30 17:50:00	0.67	3.7	3.36	303
2008-10-30 18:50:00	0.54	3.23	3.16	312
2008-10-30 19:50:00	0.56	3.33	3.25	312
2008-10-30 20:50:00	0.61	3.45	3.37	316
2008-10-30 22:50:00	0.61	3.57	3.35	317
2008-10-30 23:50:00	0.64	3.57	3.39	305
2008-10-31 00:50:00	0.59	3.33	3.25	305
2008-10-31 01:50:00	0.59	3.45	3.28	286
2008-10-31 02:50:00	0.58	3.33	3.34	294
2008-10-31 03:50:00	0.46	3.13	3.17	304
2008-10-31 04:50:00	0.41	3.03	3.43	309
2008-10-31 05:50:00	0.37	10.81	3.54	97
2008-10-31 06:50:00	0.32	10.0	3.47	67
2008-10-31 07:50:00	0.36	10.0	3.56	109
2008-10-31 08:50:00	0.4	10.0	3.38	121
2008-10-31 09:50:00	0.4	10.81	3.67	115
2008-10-31 10:50:00	0.46	10.0	3.44	109
2008-10-31 11:50:00	0.51	3.03	3.25	267
2008-10-31 12:50:00	0.49	10.0	3.42	115
2008-10-31 13:50:00	0.46	10.0	3.52	109
2008-10-31 14:50:00	0.47	3.03	3.26	258
2008-10-31 15:50:00	0.49	3.23	3.21	243
2008-10-31 16:50:00	0.46	3.03	3.06	252
2008-10-31 17:50:00	0.51	2.94	3.23	263
2008-10-31 18:50:00	0.54	3.23	3.26	261
2008-10-31 19:50:00	0.48	2.86	3.25	256
2008-10-31 20:50:00	0.46	10.0	3.39	87
2008-10-31 21:50:00	0.55	4.17	3.73	186
2008-10-31 22:50:00	0.67	10.0	3.79	101
2008-10-31 23:50:00	0.67	4.76	3.86	190
2008-11-01 00:50:00	0.77	5.26	3.76	182
2008-11-01 01:50:00	0.76	3.85	3.87	192
2008-11-01 02:50:00	0.77	4.76	3.83	189
2008-11-01 03:50:00	0.69	4.0	3.72	184
2008-11-01 04:50:00	0.7	4.76	3.83	175
2008-11-01 05:50:00	0.76	4.76	3.84	169
2008-11-01 06:50:00	0.85	4.76	3.78	177
2008-11-01 07:50:00	0.88	3.33	3.68	250
2008-11-01 08:50:00	0.94	3.33	3.74	252
2008-11-01 09:50:00	0.86	5.26	3.88	167
2008-11-01 10:50:00	0.86	5.88	3.87	175
2008-11-01 11:50:00	0.77	4.76	3.72	175
2008-11-01 12:50:00	0.76	5.26	3.78	181
2008-11-01 13:50:00	0.74	5.56	3.93	175
2008-11-01 14:50:00	0.62	5.0	3.77	182
2008-11-01 15:50:00	0.56	5.88	3.79	160
2008-11-01 16:50:00	0.48	5.26	3.88	161
2008-11-01 17:50:00	0.5	5.0	4.08	168
2008-11-01 18:50:00	0.47	5.26	4.06	181
2008-11-01 19:50:00	0.45	5.56	4.21	185
2008-11-01 20:50:00	0.46	5.26	4.42	176
